Timestamp,Q1_General background in data analysis?,Q2_Hands-on experience in data analysis using Python?,Q3_Experience in programming in general?	,Q4_General background in machine learning?	,Q5_Hands-on experience in running machine learning applications?	,Q6_Which one would you prefer on a Sunday afternoon?	,Q7_Hands-on experience in image analysis using satellite images?	,Q8_Level of interest in mathematics?	,Q9_Level of interest in reading?	,Q10_Level of stress about this class?	,Q11_Your overall motivation about this class?
2023/01/12 9:23:10 AM EST,9,10,9,9,9,Watching a movie,7,10,9,6,10
2023/01/12 11:06:04 AM EST,7,9,9,9,9,Watching a movie,3,9,9,9,10
2023/01/12 11:06:17 AM EST,5,2,5,5,5,Running,5,5,5,5,10
2023/01/12 11:06:18 AM EST,7,5,8,6,6,Reading,1,3,10,5,8
2023/01/12 11:06:23 AM EST,4,6,6,5,3,Reading,4,7,8,5,9
2023/01/12 11:06:29 AM EST,7,5,3,6,6,Watching a movie,1,2,2,10,10
2023/01/12 11:06:37 AM EST,5,5,7,5,5,Reading,1,7,10,7,10
2023/01/12 11:06:43 AM EST,7,5,7,7,6,Watching a movie,1,10,7,8,9
2023/01/12 11:06:49 AM EST,7,4,6,2,1,Reading,4,4,10,3,9
2023/01/12 11:06:57 AM EST,9,7,6,8,8,Running,10,6,9,6,9
2023/01/12 11:07:02 AM EST,7,4,8,5,3,Running,9,7,9,8,9
2023/01/12 11:07:06 AM EST,6,6,4,6,3,Reading,2,4,8,7,7
2023/01/12 11:07:13 AM EST,6,3,7,7,5,"Coding for the homework, project or just for fun",1,5,8,4,7
2023/01/12 11:07:32 AM EST,7,3,5,6,5,Watching a movie,6,5,8,3,8
2023/01/12 11:07:34 AM EST,4,6,5,5,5,Watching a movie,9,6,6,9,8
2023/01/12 11:07:53 AM EST,5,1,5,5,5,Running,1,10,10,4,10
